USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01045	00161548	Dale County	1453371189	4016457	     561.150	       1.551	 31.430654	 -85.609476                                                                                                       
AL	01047	00161549	Dallas County	2534807220	39134809	     978.695	      15.110	 32.333540	 -87.114356                                                                                                    
AL	01049	00161550	DeKalb County	2012664317	4121538	     777.094	       1.591	 34.460929	 -85.803992                                                                                                     
AL	01051	00161551	Elmore County	1601876535	99850740	     618.488	      38.553	 32.597229	 -86.142735                                                                                                    
AL	01053	00161552	Escambia County	2447747106	20872955	     945.080	       8.059	 31.122287	 -87.168410                                                                                                  
AL	01055	00161553	Etowah County	1386379576	34562865	     535.284	      13.345	 34.047641	 -86.034263                                                                                                    
AL	01057	00161554	Fayette County	1625693286	4330881	     627.684	       1.672	 33.716157	 -87.764292                                                                                                    
AL	01059	00161555	Franklin County	1641578182	32907210	     633.817	      12.706	 34.441989	 -87.842814                                                                                                  
AL	01061	00161556	Geneva County	1487710773	11765077	     574.408	       4.543	 31.092393	 -85.821011                                                                                                    
AL	01063	00161557	Greene County	1675993309	33244743	     647.105	      12.836	 32.844497	 -87.964200                                                                                                    
AL	01065	00161558	Hale County	1667804583	32525874	     643.943	      12.558	 32.752796	 -87.623061                                                                                                      
AL	01067	00161559	Henry County	1454926615	16986823	     561.750	       6.559	 31.516978	 -85.239971                                                                                                     
AL	01069	00161560	Houston County	1501741356	4736086	     579.826	       1.829	 31.158193	 -85.296398                                                                                                    
AL	01071	00161561	Jackson County	2791663770	126657151	    1077.867	      48.903	 34.764114	 -85.980056                                                                                                  
AL	01073	00161562	Jefferson County	2878198239	32472131	    1111.279	      12.538	 33.553444	 -86.896536                                                                                                 
AL	01075	00161563	Lamar County	1566544639	1600679	     604.846	       0.618	 33.787085	 -88.087431                                                                                                      
AL	01077	00161564	Lauderdale County	1729334078	134420924	     667.700	      51.900	 34.904122	 -87.650997                                                                                               
AL	01079	00161565	Lawrence County	1788846346	68687359	     690.677	      26.520	 34.529776	 -87.321865                                                                                                  
AL	01081	00161566	Lee County	1573552324	21488937	     607.552	       8.297	 32.604064	 -85.353048                                                                                                       
AL	01083	00161567	Limestone County	1450234553	122373517	     559.939	      47.249	 34.810239	 -86.981399                                                                                                
AL	01085	00161568	Lowndes County	1854202072	23721045	     715.911	       9.159	 32.147888	 -86.650586                                                                                                   
AL	01087	00161569	Macon County	1577005077	11195999	     608.885	       4.323	 32.387027	 -85.692887                                                                                                     
AL	01089	00161570	Madison County	2076115403	28770844	     801.593	      11.108	 34.764238	 -86.551080                                                                                                   
AL	01091	00161572	Marengo County	2530112315	14994544	     976.882	       5.789	 32.247591	 -87.791091                                                                                                   
AL	01093	00161573	Marion County	1922527480	3313159	     742.292	       1.279	 34.138219	 -87.881551                                                                                                     
AL	01095	00161574	Marshall County	1465524083	148503229	     565.842	      57.337	 34.309564	 -86.321668                                                                                                 
AL	01097	00161575	Mobile County	3184121204	1073852495	    1229.396	     414.617	 30.684572	 -88.196568                                                                                                  
AL	01099	00161576	Monroe County	2656521232	22609677	    1025.689	       8.730	 31.580332	 -87.383266                                                                                                    
AL	01101	00161577	Montgomery County	2031369248	40392803	     784.316	      15.596	 32.202881	 -86.204461                                                                                                
AL	01103	00161578	Morgan County	1500534815	51006061	     579.360	      19.694	 34.454484	 -86.846402                                                                                                    
AL	01105	00161579	Perry County	1863919953	10918482	     719.664	       4.216	 32.639005	 -87.293827                                                                                                     
AL	01107	00161580	Pickens County	2282893857	22521211	     881.430	       8.695	 33.296793	 -88.096863                                                                                                   
AL	01109	00161581	Pike County	1740741211	2336975	     672.104	       0.902	 31.798651	 -85.941604                                                                                                       
AL	01111	00161582	Randolph County	1503616100	9285296	     580.549	       3.585	 33.296475	 -85.464068                                                                                                   
AL	01113	00161583	Russell County	1660584041	15635292	     641.155	       6.037	 32.289811	 -85.186980                                                                                                   
AL	01115	00164997	St. Clair County	1636625209	56293578	     631.905	      21.735	 33.712963	 -86.315663                                                                                                 
AL	01117	00161584	Shelby County	2034095311	62562159	     785.369	      24.155	 33.263043	 -86.678089                                                                                                    
AL	01119	00161585	Sumter County	2341060793	24432727	     903.889	       9.434	 32.597481	 -88.200057                                                                                                    
AL	01121	00161586	Talladega County	1908244139	60939223	     736.777	      23.529	 33.369314	 -86.175930                                                                                                 
AL	01123	00161587	Tallapoosa County	1855779799	128809185	     716.521	      49.734	 32.863369	 -85.799553                                                                                               
AL	01125	00161588	Tuscaloosa County	3423119895	76604723	    1321.674	      29.577	 33.290242	 -87.522735                                                                                                
AL	01127	00161589	Walker County	2049182057	36258716	     791.194	      14.000	 33.791558	 -87.301094                                                                                                    
AL	01129	00161590	Washington County	2797722220	21650835	    1080.207	       8.359	 31.405217	 -88.197564                                                                                                
AL	01131	00161591	Wilcox County	2301199922	48985143	     888.498	      18.913	 31.990085	 -87.304907                                                                                                    
AL	01133	00161592	Winston County	1587616107	48922726	     612.982	      18.889	 34.154607	 -87.365290                                                                                                   
AK	02013	01419964	Aleutians East Borough	18082872046	20793145623	    6981.836	    8028.279	 55.245044	-161.997477                                                                                       
AK	02016	01419965	Aleutians West Census Area	11370495309	25190642181	    4390.173	    9726.162	 51.959447	+178.338813                                                                                   
AK	02020	01416061	Anchorage Municipality	4420343302	663023276	    1706.704	     255.995	 61.174250	-149.284329                                                                                          
AK	02050	01419966	Bethel Census Area	105075885504	12779538666	   40570.028	    4934.208	 60.929141	-160.152625                                                                                          
AK	02060	01419967	Bristol Bay Borough	1304962195	993834934	     503.849	     383.722	 58.730158	-156.996632                                                                                             
AK	02068	01419988	Denali Borough	33015947847	66068782	   12747.529	      25.509	 63.681106	-150.026544                                                                                                  
AK	02070	01419968	Dillingham Census Area	48093448272	6077139167	   18568.985	    2346.397	 60.297320	-158.094726                                                                                        
AK	02090	01419969	Fairbanks North Star Borough	19019023800	275189755	    7343.286	     106.251	 64.692317	-146.601733                                                                                   
AK	02100	01419970	Haines Borough	6009021796	1049986571	    2320.096	     405.402	 59.098771	-135.576936                                                                                                 
AK	02105	02371430	Hoonah-Angoon Census Area	16966364044	7799665707	    6550.750	    3011.468	 58.403336	-135.884909                                                                                     
AK	02110	01419971	Juneau City and Borough	6998182120	1429472851	    2702.013	     551.923	 58.372910	-134.178445                                                                                        
AK	02122	01419972	Kenai Peninsula Borough	41634738098	22473667447	   16075.263	    8677.132	 60.366668	-152.322283                                                                                      
AK	02130	01419973	Ketchikan Gateway Borough	12583284815	4649397284	    4858.434	    1795.142	 55.449938	-131.106685                                                                                     
AK	02150	01419974	Kodiak Island Borough	16965364377	14171111659	    6550.364	    5471.497	 57.502015	-153.563512                                                                                        
AK	02158	01419985	Kusilvak Census Area	44240303738	6712008759	   17081.277	    2591.521	 62.283060	-163.190903                                                                                          
AK	02164	01419975	Lake and Peninsula Borough	60735993529	24532276414	   23450.299	    9471.965	 58.205065	-156.705188                                                                                   
AK	02170	01419976	Matanuska-Susitna Borough	63734631763	1682661470	   24608.080	     649.679	 62.279075	-149.617562                                                                                     
AK	02180	01419977	Nome Census Area	59473768672	13767977491	   22962.951	    5315.846	 64.783686	-164.188912                                                                                             
AK	02185	01419978	North Slope Borough	230092740514	15795362153	   88839.308	    6098.624	 69.449343	-153.472830                                                                                         
AK	02188	01419979	Northwest Arctic Borough	92295122743	12906736753	   35635.348	    4983.319	 67.005066	-160.021086                                                                                     
AK	02195	02516404	Petersburg Borough	7556529587	2399243232	    2917.593	     926.353	 57.112458	-133.008598                                                                                             
AK	02198	01419980	Prince of Wales-Hyder Census Area	13628542078	14538534959	    5262.010	    5613.360	 55.682773	-133.162389                                                                            
AK	02220	01419981	Sitka City and Borough	7434275351	5027235337	    2870.390	    1941.026	 57.193204	-135.367396                                                                                         
AK	02230	02339479	Skagway Municipality	1171510537	30331285	     452.323	      11.711	 59.575097	-135.335418                                                                                             
AK	02240	01419983	Southeast Fairbanks Census Area	64147802443	752268780	   24767.606	     290.453	 63.864997	-143.218628                                                                                
AK	02261	01419984	Valdez-Cordova Census Area	88676741086	15799448122	   34238.283	    6100.201	 61.349840	-145.023141                                                                                   
AK	02275	02516402	Wrangell City and Borough	6582396275	2384301874	    2541.478	     920.584	 56.180779	-132.026788                                                                                      
AK	02282	01419986	Yakutat City and Borough	19811664933	4696568493	    7649.327	    1813.355	 60.007062	-140.148108                                                                                      
AK	02290	01419987	Yukon-Koyukuk Census Area	376824381721	5954833881	  145492.713	    2299.174	 65.375716	-151.577878                                                                                    
AZ	04001	00025441	Apache County	29001812294	54170779	   11197.663	      20.915	 35.385084	-109.490172                                                                                                   
AZ	04003	00025442	Cochise County	15968982233	137024922	    6165.659	      52.906	 31.840129	-109.775163                                                                                                 
AZ	04005	00025443	Coconino County	48222080889	110096951	   18618.650	      42.509	 35.829692	-111.773728                                                                                                
AZ	04007	00040471	Gila County	12323041468	97111975	    4757.953	      37.495	 33.789618	-110.811870                                                                                                     
AZ	04009	00025444	Graham County	11972305015	47705575	    4622.533	      18.419	 32.931828	-109.878310                                                                                                   
AZ	04011	00042807	Greenlee County	4773671883	13745242	    1843.125	       5.307	 33.238872	-109.242323                                                                                                  
AZ	04012	00043540	La Paz County	11654000682	36568021	    4499.635	      14.119	 33.727610	-114.038806                                                                                                   
AZ	04013	00037026	Maricopa County	23826751660	64344166	    9199.561	      24.843	 33.346541	-112.495534                                                                                                 
AZ	04015	00025445	Mohave County	34475714657	387347771	   13311.148	     149.556	 35.717705	-113.749689                                                                                                  
AZ	04017	00042808	Navajo County	25770082478	24078111	    9949.885	       9.297	 35.390785	-110.321025                                                                                                   
AZ	04019	00025446	Pima County	23794325411	5273054	    9187.041	       2.036	 32.128523	-111.783027                                                                                                      
AZ	04021	00025447	Pinal County	13897001099	22331619	    5365.662	       8.622	 32.919038	-111.367005                                                                                                    
AZ	04023	00040472	Santa Cruz County	3203593349	3088047	    1236.914	       1.192	 31.525733	-110.845228                                                                                                 
AZ	04025	00042809	Yavapai County	21039920080	11501575	    8123.559	       4.441	 34.631212	-112.577385                                                                                                  
AZ	04027	00023901	Yuma County	14281191792	13171316	    5513.999	       5.085	 32.773942	-113.910905                                                                                                     
AR	05001	00063755	Arkansas County	2560983546	116414557	     988.801	      44.948	 34.289570	 -91.376547                                                                                                 
AR	05003	00063756	Ashley County	2396641860	39310599	     925.349	      15.178	 33.190835	 -91.772267                                                                                                    
AR	05005	00069895	Baxter County	1435587425	84022334	     554.283	      32.441	 36.280710	 -92.330438                                                                                                    
AR	05007	00069896	Benton County	2194786302	94519642	     847.412	      36.494	 36.337825	 -94.256187                                                                                                    
AR	05009	00069897	Boone County	1528950329	30222243	     590.331	      11.669	 36.304308	 -93.079204                                                                                                     
AR	05011	00063757	Bradley County	1681514473	9532926	     649.236	       3.681	 33.466549	 -92.169156                                                                                                    
AR	05013	00063758	Calhoun County	1627959403	9926147	     628.559	       3.833	 33.560460	 -92.513879                                                                                                    
AR	05015	00066975	Carroll County	1631639780	22384066	     629.980	       8.643	 36.337774	 -93.541663                                                                                                   
AR	05017	00069160	Chicot County	1668755471	120391646	     644.310	      46.483	 33.267139	 -91.297158                                                                                                   
AR	05019	00066845	Clark County	2243121980	43395986	     866.074	      16.755	 34.053316	 -93.176208                                                                                                     
AR	05021	00063759	Clay County	1656162400	5149783	     639.448	       1.988	 36.367302	 -90.418704                                                                                                       
AR	05023	00066983	Cleburne County	1434051759	99015208	     553.691	      38.230	 35.566315	 -92.059950                                                                                                  
AR	05025	00063760	Cleveland County	1548252554	2500346	     597.784	       0.965	 33.893201	 -92.188714                                                                                                  
AR	05027	00063761	Columbia County	1984105628	1774699	     766.067	       0.685	 33.223038	 -93.232843                                                                                                   
AR	05029	00066846	Conway County	1430338375	37323934	     552.257	      14.411	 35.265702	 -92.689248                                                                                                    
AR	05031	00066847	Craighead County	1831770494	14166014	     707.251	       5.470	 35.827729	 -90.631421                                                                                                 
AR	05033	00069161	Crawford County	1531185851	31078912	     591.194	      12.000	 35.583041	 -94.236224                                                                                                  
AR	05035	00069162	Crittenden County	1579530069	68675498	     609.860	      26.516	 35.211878	 -90.315331                                                                                                
AR	05037	00066848	Cross County	1596418375	15348632	     616.381	       5.926	 35.285692	 -90.763984                                                                                                     
AR	05039	00066849	Dallas County	1728522517	1864048	     667.386	       0.720	 33.967823	 -92.653999                                                                                                     
AR	05041	00066850	Desha County	1989488184	133059776	     768.146	      51.375	 33.828752	 -91.244103                                                                                                    
AR	05043	00066851	Drew County	2145506718	18920680	     828.385	       7.305	 33.587242	 -91.722778                                                                                                      
AR	05045	00066852	Faulkner County	1678084569	41857893	     647.912	      16.161	 35.146343	 -92.324646                                                                                                  
AR	05047	00066853	Franklin County	1576934896	27931424	     608.858	      10.784	 35.508558	 -93.887665                                                                                                  
AR	05049	00066854	Fulton County	1601113473	5527446	     618.193	       2.134	 36.383619	 -91.819664                                                                                                     
AR	05051	00066855	Garland County	1755505406	147165424	     677.804	      56.821	 34.578861	 -93.146915                                                                                                  
AR	05053	00066856	Grant County	1636383569	2897719	     631.811	       1.119	 34.285568	 -92.422979                                                                                                      
AR	05055	00066857	Greene County	1496205816	4789584	     577.688	       1.849	 36.120607	 -90.566346                                                                                                     
AR	05057	00066858	Hempstead County	1884268834	35371745	     727.520	      13.657	 33.728611	 -93.665809                                                                                                 
AR	05059	00066859	Hot Spring County	1593379456	18035696	     615.207	       6.964	 34.315177	 -92.944147                                                                                                
AR	05061	00066872	Howard County	1524346473	17509484	     588.553	       6.760	 34.083064	 -93.990931                                                                                                    
AR	05063	00069163	Independence County	1978630975	19594198	     763.954	       7.565	 35.737499	 -91.559942                                                                                              
AR	05065	00066860	Izard County	1503685418	8912603	     580.576	       3.441	 36.094879	 -91.913625                                                                                                      
AR	05067	00066861	Jackson County	1641888774	19587819	     633.937	       7.563	 35.596605	 -91.223178                                                                                                   
AR	05069	00066862	Jefferson County	2255220496	111446634	     870.746	      43.030	 34.277695	 -91.930701                                                                                                
AR	05071	00066863	Johnson County	1708890431	59408531	     659.806	      22.938	 35.573359	 -93.466322                                                                                                   
AR	05073	00066864	Lafayette County	1368278117	43469501	     528.295	      16.784	 33.240629	 -93.611514                                                                                                 
AR	05075	00066865	Lawrence County	1521921890	12244924	     587.617	       4.728	 36.041098	 -91.101153                                                                                                  
AR	05077	00066866	Lee County	1560781751	43720910	     602.621	      16.881	 34.779858	 -90.779345                                                                                                       
AR	05079	00066873	Lincoln County	1454438336	27514921	     561.562	      10.624	 33.957675	 -91.727626                                                                                                   
AR	05081	00066874	Little River County	1378539246	84198999	     532.257	      32.509	 33.699497	 -94.229774                                                                                              
AR	05083	00082850	Logan County	1834025159	60692619	     708.121	      23.434	 35.218654	 -93.720910                                                                                                     
AR	05085	00069164	Lonoke County	1996702719	82664855	     770.931	      31.917	 34.755114	 -91.894132                                                                                                    
AR	05087	00069165	Madison County	2160703614	7323063	     834.252	       2.827	 36.012545	 -93.724053                                                                                                    
AR	05089	00069898	Marion County	1546245372	112149491	     597.009	      43.301	 36.266672	 -92.678567                                                                                                   
AR	05091	00069166	Miller County	1620264349	31239265	     625.588	      12.062	 33.305505	 -93.901502                                                                                                    
AR	05093	00069899	Mississippi County	2332480064	49826361	     900.576	      19.238	 35.766943	 -90.052209                                                                                               
AR	05095	00069167	Monroe County	1572464643	36715078	     607.132	      14.176	 34.679512	 -91.203310                                                                                                    
AR	05097	00069168	Montgomery County	2019881691	52856416	     779.881	      20.408	 34.545581	 -93.663330                                                                                                
AR	05099	00069169	Nevada County	1600189574	7257493	     617.837	       2.802	 33.666699	 -93.305072                                                                                                     
AR	05101	00069900	Newton County	2126135098	5931441	     820.905	       2.290	 35.910742	 -93.215899                                                                                                     
AR	05103	00069170	Ouachita County	1897900178	18050428	     732.783	       6.969	 33.591160	 -92.878415                                                                                                  
AR	05105	00069171	Perry County	1428557830	23206838	     551.569	       8.960	 34.946363	 -92.926877                                                                                                     
AR	05107	00069172	Phillips County	1801659695	82148488	     695.625	      31.718	 34.423687	 -90.855593                                                                                                  
AR	05109	00069173	Pike County	1555596258	34992296	     600.619	      13.511	 34.158191	 -93.658659                                                                                                      
AR	05111	00069174	Poinsett County	1964145925	13522955	     758.361	       5.221	 35.568870	 -90.681104                                                                                                  
AR	05113	00069175	Polk County	2221380609	12384829	     857.680	       4.782	 34.490915	 -94.230884                                                                                                      
AR	05115	00069901	Pope County	2104507243	47189891	     812.555	      18.220	 35.456557	 -93.026818                                                                                                      
AR	05117	00069176	Prairie County	1678092312	71735056	     647.915	      27.697	 34.831116	 -91.553620                                                                                                   
AR	05119	00069177	Pulaski County	1964546492	127273982	     758.516	      49.141	 34.770311	 -92.312996                                                                                                  
AR	05121	00069178	Randolph County	1689282528	9858844	     652.236	       3.807	 36.341298	 -91.028441                                                                                                   
AR	05123	00083331	St. Francis County	1644111375	20049932	     634.795	       7.741	 35.014026	 -90.742138                                                                                               
AR	05125	00067102	Saline County	1874165722	17792843	     723.619	       6.870	 34.648525	 -92.674463                                                                                                    
AR	05127	00069179	Scott County	2311062119	14900927	     892.306	       5.753	 34.858869	 -94.063641                                                                                                     
AR	05129	00069180	Searcy County	1725176990	6256693	     666.095	       2.416	 35.896387	 -92.695888                                                                                                     
AR	05131	00069181	Sebastian County	1377584005	39702610	     531.888	      15.329	 35.196981	 -94.274989                                                                                                 
AR	05133	00069182	Sevier County	1463672048	41829039	     565.127	      16.150	 33.994877	 -94.243279                                                                                                    
AR	05135	00069183	Sharp County	1565489620	5172585	     604.439	       1.997	 36.173399	 -91.471069                                                                                                      
AR	05137	00069902	Stone County	1570579427	7841929	     606.404	       3.028	 35.857031	 -92.140573                                                                                                      
AR	05139	00069903	Union County	2691561515	41401587	    1039.218	      15.985	 33.168219	 -92.598145                                                                                                     
AR	05141	00069904	Van Buren County	1838267640	37620450	     709.759	      14.525	 35.582953	 -92.515976                                                                                                 
AR	05143	00069905	Washington County	2439803373	26926563	     942.013	      10.396	 35.971209	 -94.218417                                                                                                
AR	05145	00069906	White County	2680883279	18261873	    1035.095	       7.051	 35.255118	 -91.753034                                                                                                     
AR	05147	00069907	Woodruff County	1519723218	18704035	     586.768	       7.222	 35.192777	 -91.244535                                                                                                  
AR	05149	00069908	Yell County	2408665998	48861387	     929.991	      18.865	 34.997713	 -93.408303                                                                                                      
CA	06001	01675839	Alameda County	1914240928	212981785	     739.093	      82.233	 37.648327	-121.912928                                                                                                  
CA	06003	01675840	Alpine County	1912243121	12557304	     738.321	       4.848	 38.621783	-119.798352                                                                                                    
CA	06005	01675841	Amador County	1539947599	29470568	     594.577	      11.379	 38.443550	-120.653856                                                                                                    
CA	06007	01675842	Butte County	4238422715	105325812	    1636.464	      40.667	 39.665959	-121.601919                                                                                                    
CA	06009	01675885	Calaveras County	2641819830	43808937	    1020.012	      16.915	 38.183900	-120.561442                                                                                                 
CA	06011	01675902	Colusa County	2980372943	14581043	    1150.728	       5.630	 39.177739	-122.237563                                                                                                    
CA	06013	01675903	Contra Costa County	1871895181	209854843	     722.743	      81.025	 37.919479	-121.951543                                                                                             
CA	06015	01682074	Del Norte County	2606282680	578761025	    1006.291	     223.461	 41.749903	-123.980998                                                                                                
CA	06017	00277273	El Dorado County	4423442340	203356517	    1707.901	      78.516	 38.785532	-120.534398                                                                                                
CA	06019	00277274	Fresno County	15433278958	135402551	    5958.823	      52.279	 36.761006	-119.655019                                                                                                  
CA	06021	00277275	Glenn County	3403106647	33749275	    1313.947	      13.031	 39.602546	-122.401700                                                                                                     
CA	06023	01681908	Humboldt County	9241007147	1254299668	    3567.973	     484.288	 40.706673	-123.925818                                                                                                
CA	06025	00277277	Imperial County	10817378445	790204917	    4176.613	     305.100	 33.040814	-115.355400                                                                                                
CA	06027	01804637	Inyo County	26368485935	119089390	   10180.930	      45.981	 36.561977	-117.403927                                                                                                    
CA	06029	02054176	Kern County	21061723516	79488735	    8131.977	      30.691	 35.346629	-118.729506                                                                                                     
CA	06031	00277280	Kings County	3598582456	5468555	    1389.421	       2.111	 36.072478	-119.815530                                                                                                      
CA	06033	00277281	Lake County	3254288304	188912510	    1256.488	      72.940	 39.094802	-122.746757                                                                                                     
CA	06035	01693324	Lassen County	11761620852	463438654	    4541.187	     178.935	 40.721086	-120.629952                                                                                                  
CA	06037	00277283	Los Angeles County	10510433235	1794939537	    4058.101	     693.030	 34.196398	-118.261862                                                                                            
CA	06039	00277284	Madera County	5535058332	41957139	    2137.098	      16.200	 37.209821	-119.749802                                                                                                    
CA	06041	00277285	Marin County	1348069363	796944863	     520.493	     307.702	 38.051817	-122.745974                                                                                                    
CA	06043	00277286	Mariposa County	3752425654	36268135	    1448.820	      14.003	 37.570033	-119.912860                                                                                                  
CA	06045	00277287	Mendocino County	9081415725	962953346	    3506.354	     371.798	 39.432388	-123.442881                                                                                                
CA	06047	00277288	Merced County	5011540709	112771056	    1934.967	      43.541	 37.194806	-120.722802                                                                                                   
CA	06049	00277289	Modoc County	10140841282	745929084	    3915.401	     288.005	 41.592918	-120.718370                                                                                                   
CA	06051	00277290	Mono County	7896722400	214695408	    3048.942	      82.894	 37.915836	-118.875167                                                                                                     
CA	06053	00277291	Monterey County	8496731189	1270747397	    3280.606	     490.638	 36.240107	-121.315572                                                                                                
CA	06055	00277292	Napa County	1938262912	104154062	     748.368	      40.214	 38.507100	-122.325904                                                                                                     
CA	06057	01682927	Nevada County	2480638607	41513172	     957.780	      16.028	 39.297508	-120.771343                                                                                                    
CA	06059	00277294	Orange County	2048156380	407152512	     790.798	     157.202	 33.675687	-117.777207                                                                                                   
CA	06061	00277295	Placer County	3644332280	246390570	    1407.085	      95.132	 39.062032	-120.722718                                                                                                   
CA	06063	00277296	Plumas County	6612371702	156389436	    2553.051	      60.382	 39.992295	-120.824371                                                                                                   
CA	06065	00277297	Riverside County	18664463540	250908223	    7206.390	      96.876	 33.729828	-116.002239                                                                                               
CA	06067	00277298	Sacramento County	2499183604	76073827	     964.940	      29.372	 38.450011	-121.340441                                                                                                
CA	06069	00277299	San Benito County	3596741869	4555000	    1388.710	       1.759	 36.610702	-121.085296                                                                                                 
CA	06071	00277300	San Bernardino County	51947553553	123844759	   20057.063	      47.817	 34.857220	-116.181197                                                                                          
CA	06073	00277301	San Diego County	10895227071	826282961	    4206.671	     319.030	 33.023604	-116.776117                                                                                               
